Fase,Curso,Codigo,Nota_Real,Nota_Simulada,Erro
1,Ciência Política e Relações Internacionais,0400-9020,148.0,149.5,1.5
1,Ciências da Comunicação,0400-9023,136.8,137.5,0.7
1,Ciências da Cultura,0400-9025,104.1,100.5,-3.6
1,Cinema,0400-9048,130.6,129.5,-1.1
1,Design de Moda,0400-9071,125.7,122.0,-3.7
1,Design Industrial,0400-9074,111.0,111.0,0.0
1,Design Multimédia,0400-9075,125.2,123.0,-2.2
1,Economia,0400-9081,134.0,131.8,-2.2
1,Engenharia e Gestão Industrial,0400-9104,129.2,125.8,-3.4
1,Engenharia Eletromecânica,0400-9105,120.5,114.0,-6.5
1,Engenharia Eletrotécnica e de Computadores,0400-9112,124.1,122.5,-1.6
1,Engenharia Informática,0400-9119,125.2,122.8,-2.4
1,Gestão,0400-9147,145.9,145.5,-0.4
1,Marketing,0400-9205,118.6,118.5,-0.1
1,Psicologia,0400-9219,146.4,148.0,1.6
1,Química Industrial,0400-9225,114.7,112.5,-2.2
1,Sociologia,0400-9240,123.6,124.0,0.4
1,Arquitetura,0400-9257,103.0,95.0,-8.0
1,Ciências Biomédicas,0400-9351,131.9,126.5,-5.4
1,Ciências Farmacêuticas,0400-9494,141.0,139.5,-1.5
1,Ciências do Desporto,0400-9707,126.6,123.0,-3.6
1,Medicina,0400-9813,175.3,191.5,16.2
1,Matemática e Aplicações,0400-9835,110.6,107.0,-3.6
1,Estudos Portugueses e Espanhóis,0400-9918,100.0,98.5,-1.5
1,Química Medicinal,0501-8408,123.5,119.5,-4.0
1,Biologia,0501-9011,113.5,109.0,-4.5
1,Bioquímica,0501-9015,139.3,138.5,-0.8
1,Engenharia e Gestão Industrial,0501-9104,144.5,144.5,0.0
1,Engenharia Informática,0501-9119,146.5,142.2,-4.3
1,Física,0501-9141,129.3,129.0,-0.3
1,Geologia,0501-9146,107.0,105.0,-2.0
1,Matemática,0501-9209,139.0,140.0,1.0
1,Química,0501-9223,113.8,107.5,-6.3
1,Arquitetura,0501-9257,135.8,133.0,-2.8
1,Antropologia,0501-9448,109.5,103.0,-6.5
1,Design e Multimédia,0501-9891,145.0,144.0,-1.0
1,Administração Público-Privada,0502-8067,153.0,159.0,6.0
1,Direito,0502-9078,160.5,181.5,21.0
1,Economia,0503-9081,145.0,137.0,-8.0
1,Gestão,0503-9147,159.5,161.5,2.0
1,Relações Internacionais,0503-9229,168.5,200.0,31.5
1,Sociologia,0503-9240,138.0,139.0,1.0
1,Ciências Farmacêuticas,0504-9494,142.3,141.5,-0.8
1,Ciências Bioanalíticas,0504-9819,108.0,102.0,-6.0
1,Farmácia Biomédica,0504-9832,116.3,114.5,-1.8
1,Português,0505-8393,108.5,105.0,-3.5
1,Arqueologia,0505-9006,118.0,117.0,-1.0
1,Estudos Artísticos,0505-9132,136.5,137.5,1.0
1,Estudos Clássicos,0505-9133,116.0,116.0,0.0
1,Estudos Europeus,0505-9135,149.0,153.5,4.5
1,Filosofia,0505-9139,129.5,130.5,1.0
1,Geografia,0505-9143,125.0,123.5,-1.5
1,História,0505-9181,138.0,139.0,1.0
1,História da Arte,0505-9182,120.0,119.5,-0.5
1,Ciência da Informação,0505-9694,128.4,130.0,1.6
1,Jornalismo e Comunicação,0505-9773,153.5,158.5,5.0
1,Línguas Modernas,0505-9779,138.5,138.0,-0.5
1,"Turismo, Território e Patrimónios",0505-L109,141.0,142.5,1.5
1,Medicina Dentária,0506-9548,173.8,196.5,22.7
1,Medicina,0506-9813,179.7,200.0,20.3
1,Ciências da Educação,0507-9026,128.0,127.0,-1.0
1,Serviço Social,0507-9238,143.0,146.0,3.0
1,Ciências do Desporto,0508-9707,132.2,133.0,0.8
1,Biologia Humana,0602-8262,113.0,110.0,-3.0
1,Agronomia,0602-9003,102.0,96.0,-6.0
1,Biologia,0602-9011,110.1,108.5,-1.6
1,Bioquímica,0602-9015,112.4,109.5,-2.9
1,Biotecnologia,0602-9016,106.2,104.0,-2.2
1,Engenharia Informática,0602-9119,119.3,119.2,-0.1
1,Geografia,0602-9143,113.2,111.0,-2.2
1,Matemática Aplicada à Economia e à Gestão,0602-9210,111.6,110.5,-1.1
1,Engenharia Mecatrónica,0602-9751,120.5,116.0,-4.5
1,Enologia,0602-9752,114.0,114.5,0.5
1,Ciência e Tecnologia Animal,0602-9818,102.2,98.5,-3.7
1,Medicina Veterinária,0602-9847,154.9,156.5,1.6
1,Engenharia de Energias Renováveis,0602-9910,122.6,119.2,-3.4
1,Ecologia e Ambiente,0602-L090,105.4,98.5,-6.9
1,Design,0603-9069,133.4,133.0,-0.4
1,Teatro,0603-9243,131.2,132.5,1.3
1,Arquitetura,0603-9257,115.4,114.8,-0.6
1,Artes Plásticas e Multimédia,0603-9347,120.9,122.0,1.1
1,História e Arqueologia,0604-8251,120.9,117.5,-3.4
1,Ciências da Educação,0604-9026,119.5,118.5,-1.0
1,Economia,0604-9081,108.1,105.0,-3.1
1,Gestão,0604-9147,137.8,135.8,-2.0
1,Psicologia,0604-9219,145.8,147.0,1.2
1,Relações Internacionais,0604-9229,144.0,145.0,1.0
1,Sociologia,0604-9240,124.5,120.5,-4.0
1,Turismo,0604-9254,130.6,130.0,-0.6
1,Património Cultural,0604-9787,107.0,101.5,-5.5
1,Educação Básica,0604-9853,117.2,112.2,-5.0
1,Línguas e Literaturas,0604-L047,98.6,95.0,-3.6
1,Ciências da Nutrição,0901-9554,158.5,164.0,5.5
1,Medicina,0901-9813,177.3,200.0,22.7
1,Sociologia (regime pós-laboral),0902-8109,127.0,128.5,1.5
1,Arqueologia,0902-9006,128.0,130.5,2.5
1,Ciência Política e Relações Internacionais,0902-9020,174.0,200.0,26.0
1,Ciências da Comunicação,0902-9023,172.0,200.0,28.0
1,Ciências da Linguagem,0902-9040,130.0,132.5,2.5
1,Ciências Musicais,0902-9046,129.5,131.5,2.0
1,Filosofia,0902-9139,144.5,148.5,4.0
1,Geografia e Planeamento Regional,0902-9145,138.5,140.5,2.0
1,História,0902-9181,154.0,159.5,5.5
1,História da Arte,0902-9182,122.5,122.0,-0.5
1,"Línguas, Literaturas e Culturas",0902-9204,145.5,95.0,-50.5
1,Sociologia,0902-9240,141.0,143.5,2.5
1,Tradução,0902-9252,151.0,95.0,-56.0
1,Antropologia,0902-9448,122.5,95.0,-27.5
1,Estudos Portugueses,0902-9917,118.0,119.5,1.5
1,Conservação - Restauro,0903-8036,144.2,148.0,3.8
1,Bioquímica,0903-9015,154.0,156.0,2.0
1,Engenharia Geológica,0903-9116,121.2,122.5,1.3
1,Matemática,0903-9209,169.2,194.5,25.3
1,Química Aplicada,0903-9224,143.2,144.5,1.3
1,Biologia Celular e Molecular,0903-9348,162.0,165.0,3.0
1,Matemática Aplicada à Gestão do Risco,0903-L167,168.2,198.0,29.8
1,Economia,0904-9081,171.0,189.5,18.5
1,Gestão,0904-9147,176.5,200.0,23.5
1,Sistemas e Tecnologias de Informação,0906-8259,161.3,164.5,3.2
1,Gestão de Informação,0906-9155,171.3,195.0,23.7
1,Direito,0911-9078,166.6,195.8,29.2
1,Geografia e Planeamento,1000-8183,126.6,126.5,-0.1
1,Optometria e Ciências da Visão,1000-8184,120.4,118.5,-1.9
1,Direito (regime pós-laboral),1000-8358,165.6,200.0,34.4
1,Educação (regime pós-laboral),1000-8427,126.6,128.0,1.4
1,Design de Produto,1000-8494,150.5,143.5,-7.0
1,Administração Pública,1000-9002,153.4,161.0,7.6
1,Arqueologia,1000-9006,113.6,112.8,-0.8
1,Biologia e Geologia,1000-9012,113.0,111.5,-1.5
1,Bioquímica,1000-9015,145.6,146.0,0.4
1,Ciência Política,1000-9019,153.2,159.0,5.8
1,Ciências da Comunicação,1000-9023,160.8,184.5,23.7
1,Direito,1000-9078,168.6,200.0,31.4
1,Economia,1000-9081,165.0,168.0,3.0
1,Estudos Culturais,1000-9134,139.2,141.5,2.3
1,Filosofia,1000-9139,120.2,120.5,0.3
1,Física,1000-9141,151.4,155.0,3.6
1,Geologia,1000-9146,107.4,107.5,0.1
1,Gestão,1000-9147,170.0,189.0,19.0
1,História,1000-9181,142.6,145.5,2.9
1,Línguas Aplicadas,1000-9192,161.2,187.5,26.3
1,Línguas e Literaturas Europeias,1000-9195,141.0,142.5,1.5
1,Matemática,1000-9209,134.0,134.2,0.2
1,Química,1000-9223,122.4,117.5,-4.9
1,Relações Internacionais,1000-9229,160.6,182.5,21.9
1,Sociologia,1000-9240,139.8,141.0,1.2
1,Teatro,1000-9243,116.8,116.0,-0.8
1,Arquitetura,1000-9257,158.5,162.0,3.5
1,Educação,1000-9353,134.2,135.0,0.8
1,Ciências do Ambiente,1000-9379,117.0,115.5,-1.5
1,Estatística Aplicada,1000-9381,128.8,128.5,-0.3
1,Ciências da Computação,1000-9397,136.2,130.5,-5.7
1,Design e Marketing de Moda,1000-9499,156.2,156.0,-0.2
1,Biologia Aplicada,1000-9688,128.4,123.5,-4.9
1,Negócios Internacionais,1000-9785,153.6,157.0,3.4
1,Medicina,1000-9813,182.2,200.0,17.8
1,Artes Visuais,1000-9817,150.0,154.0,4.0
1,Educação Básica,1000-9853,133.8,134.8,1.0
1,Estudos Portugueses,1000-9917,115.6,115.0,-0.6
1,Criminologia e Justiça Criminal,1000-L078,161.0,188.5,27.5
1,Proteção Civil e Gestão do Território,1000-L112,113.8,112.0,-1.8
1,Estudos Orientais: Estudos Chineses e Japoneses,1000-L147,151.0,153.0,2.0
1,Ciências da Nutrição,1101-9554,152.0,154.0,2.0
1,Arquitetura,1102-9257,177.0,200.0,23.0
1,Arquitetura Paisagista,1103-8258,123.5,124.0,0.5
1,Biologia,1103-9011,141.5,142.5,1.0
1,Bioquímica,1103-9015,169.0,172.5,3.5
1,Física,1103-9141,171.8,197.0,25.2
1,Geologia,1103-9146,118.0,118.0,0.0
1,Matemática,1103-9209,155.0,157.0,2.0
1,Química,1103-9223,112.8,109.0,-3.8
1,Ciência de Computadores,1103-9696,143.5,145.2,1.7
1,Ciências e Tecnologia do Ambiente,1103-9709,133.5,135.5,2.0
1,Engenharia Geoespacial,1103-L096,121.8,119.3,-2.5
1,Economia,1104-9081,171.3,183.5,12.2
1,Gestão,1104-9147,178.0,200.0,22.0
1,Ciências Farmacêuticas,1106-9494,150.3,150.0,-0.3
1,Arqueologia,1107-9006,134.4,134.7,0.3
1,Ciências da Linguagem,1107-9040,131.6,95.0,-36.6
1,Filosofia,1107-9139,128.2,127.2,-1.0
1,Geografia,1107-9143,133.4,95.0,-38.4
1,História,1107-9181,152.8,166.2,13.4
1,História da Arte,1107-9182,142.0,95.0,-47.0
1,Línguas Aplicadas,1107-9192,172.8,95.0,-77.8
1,Línguas e Relações Internacionais,1107-9197,179.0,95.0,-84.0
1,"Línguas, Literaturas e Culturas",1107-9204,160.8,95.0,-65.8
1,Sociologia,1107-9240,147.0,95.0,-52.0
1,Ciência da Informação,1107-9694,146.2,149.0,2.8
1,Medicina,1108-9813,182.7,200.0,17.3
1,Ciências da Educação,1109-9026,140.0,141.5,1.5
1,Ciências do Meio Aquático,1110-9708,134.5,136.5,2.0
1,Medicina,1110-9813,185.0,200.0,15.0
1,Medicina Veterinária,1110-9847,167.8,200.0,32.2
1,Ciências do Desporto,1111-9707,142.0,134.2,-7.8
1,Medicina Dentária,1113-9548,172.0,200.0,28.0
1,Criminologia,1114-9066,165.6,198.5,32.9
1,Direito,1114-9078,174.0,199.0,25.0
1,Engenharia Agronómica,1201-9086,115.3,111.5,-3.8
1,Engenharia Zootécnica,1201-9129,116.6,112.0,-4.6
1,Enologia,1201-9752,97.3,95.0,-2.3
1,Medicina Veterinária,1201-9847,159.4,175.5,16.1
1,Ciências da Comunicação,1202-9023,136.7,95.0,-41.7
1,Economia,1202-9081,138.6,95.0,-43.6
1,Gestão,1202-9147,155.2,156.5,1.3
1,Línguas e Relações Empresariais,1202-9196,141.5,95.0,-46.5
1,"Línguas, Literaturas e Culturas",1202-9204,128.4,95.0,-33.4
1,Psicologia,1202-9219,149.3,151.9,2.6
1,Serviço Social,1202-9238,133.9,134.5,0.6
1,Turismo,1202-9254,130.2,129.5,-0.7
1,Teatro e Artes Performativas,1202-9803,117.0,115.5,-1.5
1,Educação Básica,1202-9853,112.3,112.5,0.2
1,Comunicação e Multimédia,1203-9052,129.9,129.0,-0.9
1,Engenharia Civil,1203-9089,126.2,127.0,0.8
1,Engenharia e Gestão Industrial,1203-9104,118.4,112.5,-5.9
1,Engenharia Informática,1203-9119,122.6,119.8,-2.8
1,Engenharia Mecânica,1203-9123,118.2,113.0,-5.2
1,Engenharia Biomédica,1203-9455,137.0,138.0,1.0
1,Biologia,1204-9011,99.0,95.0,-4.0
1,Biologia e Geologia,1204-9012,96.0,97.0,1.0
1,Bioquímica,1204-9015,123.6,117.5,-6.1
1,Ciências do Ambiente,1204-9379,106.8,102.0,-4.8
1,Bioengenharia,1204-9540,124.0,122.0,-2.0
1,Ciências da Nutrição,1204-9554,129.5,130.0,0.5
1,Ciências do Desporto,1204-9707,132.2,128.0,-4.2
1,Genética e Biotecnologia,1204-9761,128.5,125.0,-3.5
1,Design,1306-9069,105.0,106.0,1.0
1,Línguas e Relações Empresariais,1306-9196,136.2,137.0,0.8
1,Psicologia,1306-9219,139.9,141.5,1.6
1,"Comunicação, Cultura e Organizações",1306-9720,125.3,124.0,-1.3
1,Artes Visuais,1306-9817,148.6,148.0,-0.6
1,Estudos de Cultura,1306-L150,112.8,106.5,-6.3
1,Bioquímica,1307-9015,122.5,119.5,-3.0
1,Engenharia Civil,1307-9089,,113.0,
1,Engenharia Eletrónica e Telecomunicações,1307-9107,,134.0,
1,Engenharia Informática,1307-9119,109.3,106.2,-3.1
1,Ciências da Educação,1308-9026,117.6,116.5,-1.1
1,Economia,1308-9081,113.8,111.5,-2.3
1,Gestão,1308-9147,136.3,134.5,-1.8
1,Educação Física e Desporto,1308-9736,134.7,135.5,0.8
1,Educação Básica,1308-9853,110.7,107.5,-3.2
1,Ciclo Básico de Medicina,1309-8083,175.0,200.0,25.0
1,Biologia,1309-9011,117.1,117.0,-0.1
1,Enfermagem,1320-9500,143.0,145.5,2.5
1,Direção e Gestão Hoteleira,1321-9076,136.6,138.0,1.4
1,Design,1501-9069,160.0,161.0,1.0
1,Design de Moda,1501-9071,153.0,148.0,-5.0
1,Arquitetura,1501-9257,107.0,102.5,-4.5
1,Desenho,1502-8399,170.5,199.2,28.7
1,Design de Comunicação,1502-9070,173.5,200.0,26.5
1,Design de Equipamento,1502-9072,152.0,144.5,-7.5
1,Escultura,1502-9754,142.0,142.0,0.0
1,Pintura,1502-9790,163.0,183.5,20.5
1,Arte Multimédia,1502-9904,167.0,191.0,24.0
1,Ciências da Arte e do Património,1502-L010,147.5,146.5,-1.0
1,Biologia,1503-9011,147.5,146.0,-1.5
1,Bioquímica,1503-9015,148.3,148.5,0.2
1,Engenharia Informática,1503-9119,148.5,148.5,0.0
1,Física,1503-9141,167.0,179.5,12.5
1,Geologia,1503-9146,119.0,114.5,-4.5
1,Matemática,1503-9209,156.8,159.2,2.4
1,"Meteorologia, Oceanografia e Geofísica",1503-9212,126.0,126.0,0.0
1,Química,1503-9223,143.3,145.0,1.7
1,Química Tecnológica,1503-9226,134.0,136.5,2.5
1,Estatística Aplicada,1503-9381,140.5,141.5,1.0
1,Matemática Aplicada,1503-9385,153.3,154.5,1.2
1,Tecnologias de Informação,1503-L079,133.5,132.0,-1.5
1,Engenharia Geoespacial,1503-L096,113.0,112.5,-0.5
1,Direito (regime pós-laboral),1504-8358,147.5,151.2,3.7
1,Direito,1504-9078,153.8,161.2,7.4
1,Ciências Farmacêuticas,1505-9494,143.0,143.0,0.0
1,"Estudos Artísticos, variante de Artes do Espetáculo",1506-8104,139.5,142.0,2.5
1,Artes e Humanidades,1506-8413,134.5,136.0,1.5
1,Estudos Gerais,1506-8458,143.0,145.5,2.5
1,Arqueologia,1506-9006,122.0,122.5,0.5
1,Ciências da Linguagem,1506-9040,129.5,132.0,2.5
1,Estudos Africanos,1506-9131,120.0,121.5,1.5
1,Estudos Clássicos,1506-9133,120.5,121.5,1.0
1,Estudos Europeus,1506-9135,147.5,150.5,3.0
1,Filosofia,1506-9139,135.5,137.5,2.0
1,História,1506-9181,143.0,146.0,3.0
1,História da Arte,1506-9182,121.0,122.0,1.0
1,"Línguas, Literaturas e Culturas",1506-9204,139.0,138.5,-0.5
1,Tradução,1506-9252,137.3,138.5,1.2
1,Estudos Asiáticos,1506-9914,150.0,155.0,5.0
1,Estudos Portugueses,1506-9917,119.0,120.0,1.0
1,Estudos Comparatistas,1506-L097,125.0,126.5,1.5
1,Ciências da Nutrição,1507-9554,156.3,189.0,32.7
1,Medicina,1507-9813,175.8,195.0,19.2
1,Medicina Dentária,1508-9548,173.8,199.0,25.2
1,Higiene Oral,1508-9556,127.8,129.0,1.2
1,Prótese Dentária,1508-9791,115.0,114.5,-0.5
1,Medicina Veterinária,1509-9847,157.8,173.5,15.7
1,Dança,1510-9068,106.0,107.0,1.0
1,Gestão do Desporto,1510-9162,147.0,148.5,1.5
1,Ciências do Desporto,1510-9707,124.0,117.2,-6.8
1,Reabilitação Psicomotora,1510-9841,123.0,122.5,-0.5
1,Educação e Formação,1513-L040,122.0,121.5,-0.5
1,Planeamento e Gestão do Território,1514-8411,132.0,133.5,1.5
1,Geografia,1514-9143,128.0,128.5,0.5
1,Arquitetura Paisagista,1515-8258,123.5,124.5,1.0
1,Engenharia Florestal e dos Recursos Naturais,1515-8377,115.0,115.0,0.0
1,Biologia,1515-9011,137.3,138.5,1.2
1,Engenharia Agronómica,1515-9086,124.8,123.5,-1.3
1,Engenharia Alimentar,1515-9087,110.0,107.0,-3.0
1,Engenharia do Ambiente,1515-9099,125.3,127.5,2.2
1,Engenharia Zootécnica,1515-9129,122.5,122.0,-0.5
1,Serviço Social (regime pós-laboral),1516-8014,130.5,132.5,2.0
1,Administração Pública (regime pós-laboral),1516-8102,129.0,129.5,0.5
1,Sociologia (regime pós-laboral),1516-8109,121.5,122.0,0.5
1,Gestão de Recursos Humanos (regime pós-laboral),1516-8111,141.0,144.0,3.0
1,Administração Pública e Políticas do Território (regime pós-laboral),1516-8363,120.0,120.5,0.5
1,Relações Internacionais (regime pós-laboral),1516-8364,149.5,154.5,5.0
1,Administração Pública,1516-9002,141.5,143.5,2.0
1,Ciência Política,1516-9019,152.0,157.0,5.0
1,Ciências da Comunicação,1516-9023,161.0,187.5,26.5
1,Gestão de Recursos Humanos,1516-9157,154.0,161.5,7.5
1,Relações Internacionais,1516-9229,160.0,183.0,23.0
1,Serviço Social,1516-9238,142.0,144.0,2.0
1,Sociologia,1516-9240,135.0,137.0,2.0
1,Antropologia,1516-9448,120.5,120.5,0.0
1,Economia,1517-9081,157.0,157.5,0.5
1,Gestão,1517-9147,159.5,160.5,1.0
1,Matemática Aplicada à Economia e à Gestão,1517-9210,184.0,200.0,16.0
1,Gestão (ensino em Inglês),1517-A001,161.5,166.5,5.0
1,Economia (ensino em Inglês),1517-A006,159.0,162.5,3.5
1,Finanças (ensino em inglês),1517-A013,152.3,156.0,3.7
1,Engenharia Informática e de Computadores,1518-9121,172.0,178.0,6.0
1,Arquitetura,1518-9257,155.0,154.2,-0.8
1,Matemática Aplicada e Computação,1518-9345,183.8,200.0,16.2
1,Engenharia Naval e Oceânica,1518-L162,160.5,164.5,4.0
1,Engenharia de Telecomunicações e Informática,1519-9098,140.0,140.0,0.0
1,Engenharia e Gestão Industrial,1519-9104,164.0,165.5,1.5
1,Engenharia Informática e de Computadores,1519-9121,163.5,166.0,2.5
1,Engenharia Eletrónica,1519-9912,144.0,145.5,1.5
1,Marketing (regime pós-laboral),3011-8005,130.6,132.5,1.9
1,Contabilidade,3011-9056,137.8,138.5,0.7
1,Finanças,3011-9140,152.6,162.0,9.4
1,Marketing,3011-9205,148.9,152.0,3.1
1,Contabilidade (regime pós-laboral),3011-9869,100.0,99.5,-0.5
1,Finanças (regime pós-laboral),3011-9888,116.3,116.0,-0.3
1,Gestão da Qualidade,3012-8405,124.6,125.0,0.4
1,Secretariado e Comunicação Empresarial,3012-9235,133.4,134.5,1.1
1,Gestão Comercial,3012-L021,132.1,133.5,1.4
1,Enfermagem,3013-9500,135.4,128.0,-7.4
1,Fisioterapia,3013-9504,151.0,153.0,2.0
1,Terapia da Fala,3013-9890,117.0,111.5,-5.5
1,Imagem Médica e Radioterapia,3013-L066,123.4,123.0,-0.4
1,Design de Produto e Tecnologia,3014-L138,135.6,135.2,-0.4
1,Agronomia,3021-9003,,95.0,
1,Ciência e Tecnologia dos Alimentos,3021-9350,,95.0,
1,Audiovisual e Multimédia,3022-9010,105.8,101.0,-4.8
1,Serviço Social,3022-9238,105.0,105.0,0.0
1,Desporto,3022-9563,101.0,96.0,-5.0
1,Educação Básica,3022-9853,,101.2,
1,Engenharia Informática,3023-9119,116.8,115.0,-1.8
1,Gestão de Empresas,3023-9152,113.9,112.2,-1.7
1,Solicitadoria,3023-9242,109.7,107.5,-2.2
1,Turismo,3023-9254,97.0,95.5,-1.5
1,Gestão de Empresas (regime pós-laboral),3023-9994,112.0,109.8,-2.2
1,Solicitadoria (regime pós-laboral),3031-8015,123.6,122.8,-0.8
1,Contabilidade,3031-9056,139.6,140.8,1.2
1,Finanças,3031-9140,135.9,136.5,0.6
1,Gestão de Empresas,3031-9152,150.5,156.2,5.7
1,Solicitadoria,3031-9242,143.3,145.8,2.5
1,Fiscalidade,3031-9759,127.2,127.0,-0.2
1,Contabilidade (regime pós-laboral),3031-9869,123.7,122.5,-1.2
1,Fiscalidade (regime pós-laboral),3031-9990,107.1,101.0,-6.1
1,Gestão de Empresas (regime pós-laboral),3031-9994,135.4,136.5,1.1
1,Gestão Pública,3031-L140,132.4,133.0,0.6
1,Engenharia em Desenvolvimento de Jogos Digitais,3032-8311,125.4,123.2,-2.2
1,Engenharia de Sistemas Informáticos,3032-8409,134.4,134.5,0.1
1,Engenharia de Sistemas Informáticos (regime pós-laboral),3032-8417,116.9,114.8,-2.1
1,Engenharia e Gestão Industrial,3032-9104,123.4,95.0,-28.4
1,Engenharia Eletrotécnica e de Computadores,3032-9112,116.0,112.5,-3.5
1,Engenharia Informática Médica,3032-L181,110.5,109.0,-1.5
1,Design Industrial,3033-9074,136.9,137.5,0.6
1,Design Gráfico,3033-9470,153.2,159.0,5.8
1,Design Gráfico (regime pós-laboral),3033-9873,137.0,139.0,2.0
1,Gestão de Atividades Turísticas,3034-8156,137.0,138.0,1.0
1,Gestão de Atividades Turísticas (regime pós-laboral),3034-8341,125.9,125.5,-0.4
1,Enfermagem Veterinária,3041-9085,121.7,114.5,-7.2
1,Engenharia Agronómica,3041-9086,,149.5,
1,Engenharia Alimentar,3041-9087,,97.0,
1,Engenharia do Ambiente,3041-9099,,96.0,
1,Engenharia Zootécnica,3041-9129,,96.0,
1,Biologia e Biotecnologia,3041-L029,114.4,111.5,-2.9
1,Línguas Estrangeiras: Inglês e Espanhol,3042-8323,105.6,95.0,-10.6
1,Línguas para Relações Internacionais,3042-8374,121.1,119.0,-2.1
1,Educação Ambiental,3042-9082,108.7,106.0,-2.7
1,Educação Social,3042-9084,95.0,95.0,0.0
1,Desporto,3042-9563,115.6,113.5,-2.1
1,Educação Básica,3042-9853,,109.8,
1,Arte e Design,3042-9898,99.6,95.0,-4.6
1,Animação e Produção Artística,3042-9933,109.9,107.5,-2.4
1,Relações Lusófonas e Língua Portuguesa,3042-L088,106.3,95.0,-11.3
1,Música em Contextos Comunitários,3042-L175,122.9,122.0,-0.9
1,Contabilidade,3043-9056,102.6,95.8,-6.8
1,Engenharia Civil,3043-9089,,98.0,
1,Engenharia Eletrotécnica e de Computadores,3043-9112,,114.0,
1,Engenharia Informática,3043-9119,106.0,104.0,-2.0
1,Engenharia Mecânica,3043-9123,,114.0,
1,Engenharia Química,3043-9125,134.2,135.0,0.8
1,Gestão,3043-9147,126.6,124.5,-2.1
1,Informática de Gestão,3043-9186,,114.0,
1,Engenharia de Energias Renováveis,3043-9910,,98.0,
1,"Gestão de Negócios Internacionais (Curso Europeu, ensino em Inglês)",3043-A004,105.2,99.0,-6.2
1,Tecnologia Biomédica,3043-L069,116.4,110.0,-6.4
